,Unnamed: 0,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Diagonal Residual
314,314,1/26/2022,2022-B52 ,G96,0.2,0.2,0.282842712474619
315,315,1/26/2022,2022-B52 ,I52,0.2,0.2,0.282842712474619
316,316,1/26/2022,2022-B52 ,654,0.1,0.1,0.1414213562373095
317,317,1/26/2022,2022-B52 ,G96,1.8,0.2,1.8110770276274837
318,318,1/26/2022,2022-B52 ,I52,0.2,0.3,0.3605551275463989
319,319,1/26/2022,2022-B52 ,654,0.1,0.0,0.1
320,320,1/26/2022,2022-B52 ,I52,0.2,0.4,0.447213595499958
321,321,1/26/2022,2022-B52 ,I52,0.3,0.2,0.3605551275463989
322,322,1/26/2022,2022-B52 ,654,0.0,0.1,0.1
323,323,1/27/2022,2022-B56 ,G96,0.2,0.4,0.447213595499958
324,324,1/27/2022,2022-B56 ,I52,0.1,0.3,0.3162277660168379
325,325,1/27/2022,2022-B56 ,L01,0.4,0.4,0.5656854249492381
326,326,1/27/2022,2022-B56 ,G96,0.2,0.1,0.223606797749979
327,327,1/27/2022,2022-B56 ,I52,0.4,0.1,0.4123105625617661
328,328,1/27/2022,2022-B56 ,H21,0.2,0.3,0.3605551275463989
329,329,1/27/2022,2022-B56 ,G96,0.3,0.1,0.3162277660168379
330,330,1/27/2022,2022-B56 ,654,0.1,0.0,0.1
331,331,1/27/2022,2022-B56 ,H21,0.2,0.4,0.447213595499958
332,332,1/27/2022,2022-B56 ,I52,0.1,0.0,0.1
333,333,1/27/2022,2022-B56 ,654,0.1,0.1,0.1414213562373095
334,334,1/27/2022,2022-B56 ,H21,0.2,0.2,0.282842712474619
335,335,1/27/2022,2022-B56 ,I52,0.0,0.1,0.1
336,336,1/27/2022,2022-B56 ,654,0.2,0.1,0.223606797749979
337,337,1/27/2022,2022-B56 ,H21,0.1,0.1,0.1414213562373095
338,338,1/27/2022,2022-B56 ,I52,0.2,0.1,0.223606797749979
339,339,1/27/2022,2022-B56 ,204,0.2,0.1,0.223606797749979
341,341,1/27/2022,2022-B56 ,I52,0.1,0.0,0.1
342,342,1/27/2022,2022-B56 ,L01,1.2,0.2,1.2165525060596438
344,344,1/27/2022,2022-B56 ,H21,0.2,0.2,0.282842712474619
345,345,1/27/2022,2022-B56 ,L01,0.6,0.7,0.9219544457292886
347,347,1/27/2022,2022-B56 ,H21,0.4,0.4,0.5656854249492381
348,348,1/27/2022,2022-B56 ,L01,0.5,0.6,0.7810249675906654
349,349,1/27/2022,2022-B56 ,H21,0.2,0.1,0.223606797749979
350,350,1/27/2022,2022-B56 ,L01,0.5,0.1,0.5099019513592785
351,351,1/27/2022,2022-B71 ,G96,0.2,0.1,0.223606797749979
352,352,1/27/2022,2022-B71 ,L01,0.3,0.0,0.3
