,Unnamed: 0,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Diagonal Residual
10040,10040,6/8/2022,2022-L71 ,654,0.4,0.2,0.1
10043,10043,6/8/2022,2022-L71 ,654,0.1,0.1,0.01
10058,10058,6/8/2022,2022-L71 ,654,0.1,0.0,0.005
10062,10062,6/8/2022,2022-L71 ,654,0.1,0.1,0.01
10071,10071,6/8/2022,2022-L71 ,654,0.0,0.1,0.005
10080,10080,6/8/2022,2022-L71 ,654,0.1,0.1,0.01
10096,10096,6/8/2022,2022-L72 ,654,0.3,0.1,0.05
10105,10105,6/8/2022,2022-L72 ,654,0.1,0.2,0.025
10108,10108,6/8/2022,2022-L72 ,654,0.1,0.1,0.01
10119,10119,6/8/2022,2022-L72 ,654,0.1,0.1,0.01
10137,10137,6/10/2022,2022-L77 ,654,0.2,0.1,0.025
10140,10140,6/10/2022,2022-L77 ,654,0.0,0.2,0.02
10143,10143,6/10/2022,2022-L77 ,654,0.1,0.2,0.025
10331,10331,6/10/2022,2022-L78 ,654,0.1,0.0,0.005
10334,10334,6/10/2022,2022-L78 ,654,0.0,0.1,0.005
10376,10376,6/10/2022,2022-L78 ,654,0.1,0.0,0.005
10379,10379,6/10/2022,2022-L78 ,654,0.1,0.1,0.01
10382,10382,6/10/2022,2022-L78 ,654,0.0,0.2,0.02
10385,10385,6/10/2022,2022-L78 ,654,0.1,0.2,0.025
10388,10388,6/10/2022,2022-L78 ,654,0.1,0.3,0.05
10391,10391,6/10/2022,2022-L78 ,654,0.0,0.2,0.02
10417,10417,6/10/2022,2022-L79 ,654,0.4,0.1,0.085
10420,10420,6/10/2022,2022-L79 ,654,1.5,0.2,1.145
10430,10430,6/19/2022,2022-M16 ,654,0.2,0.1,0.025
10433,10433,6/19/2022,2022-M16 ,654,0.2,0.1,0.025
10436,10436,6/19/2022,2022-M16 ,654,0.1,0.0,0.005
10489,10489,6/21/2022,2022-M25 ,654,0.3,0.1,0.05
10492,10492,6/21/2022,2022-M25 ,654,0.1,0.1,0.01
10495,10495,6/21/2022,2022-M25 ,654,0.0,0.1,0.005
10496,10496,6/21/2022,2022-M25 ,654,0.0,0.1,0.005
10498,10498,6/21/2022,2022-M25 ,654,0.1,0.1,0.01
10502,10502,6/21/2022,2022-M25 ,654,0.1,0.0,0.005
10505,10505,6/21/2022,2022-M25 ,654,0.0,0.0,0.0
10544,10544,6/21/2022,2022-M26 ,654,0.0,0.0,0.0
10547,10547,6/21/2022,2022-M26 ,654,0.2,0.0,0.02
10558,10558,6/21/2022,2022-M27 ,654,0.0,0.0,0.0
10561,10561,6/21/2022,2022-M27 ,654,0.0,0.0,0.0
10569,10569,6/21/2022,2022-M29 ,654,0.2,0.1,0.025
