Date,Bulletin,Obs Code,Residual RA,Residual Dec
1/25/2022,2022-B35 ,F52,0.0,0.0
1/25/2022,2022-B35 ,Z84,0.7,0.6
1/25/2022,2022-B35 ,F52,0.0,0.0
1/25/2022,2022-B35 ,Z84,0.4,0.1
1/26/2022,2022-B39 ,F52,0.1,0.1
1/26/2022,2022-B39 ,L01,0.0,0.6
1/26/2022,2022-B39 ,858,0.1,0.2
1/26/2022,2022-B39 ,F52,0.1,0.0
1/26/2022,2022-B39 ,I93,0.4,0.1
1/26/2022,2022-B39 ,858,0.1,0.1
1/26/2022,2022-B39 ,F52,0.1,0.0
1/26/2022,2022-B39 ,C95,0.4,0.3
1/26/2022,2022-B39 ,691,1.2,0.5
1/26/2022,2022-B39 ,F52,0.1,0.1
1/26/2022,2022-B39 ,I93,0.2,0.1
1/26/2022,2022-B39 ,691,0.4,0.2
1/26/2022,2022-B39 ,F52,0.0,0.1
1/26/2022,2022-B39 ,I93,0.0,0.3
1/26/2022,2022-B39 ,691,0.5,0.2
1/26/2022,2022-B39 ,F52,0.1,0.3
1/26/2022,2022-B39 ,958,0.3,1.0
1/26/2022,2022-B39 ,654,0.1,0.2
1/26/2022,2022-B39 ,F52,0.1,0.2
1/26/2022,2022-B39 ,958,0.1,0.2
1/26/2022,2022-B39 ,654,0.0,0.0
1/26/2022,2022-B39 ,L01,0.4,0.3
1/26/2022,2022-B39 ,104,0.0,0.3
1/26/2022,2022-B39 ,654,0.3,0.2
1/26/2022,2022-B39 ,L01,0.0,0.3
1/26/2022,2022-B39 ,104,0.3,0.1
1/26/2022,2022-B39 ,654,0.1,0.3
1/26/2022,2022-B39 ,L01,0.3,0.2
1/26/2022,2022-B39 ,958,0.1,0.3
1/26/2022,2022-B39 ,204,0.1,0.1
1/26/2022,2022-B39 ,C95,0.6,0.3
1/26/2022,2022-B39 ,104,0.3,0.3
1/26/2022,2022-B39 ,204,0.1,0.1
1/26/2022,2022-B39 ,L01,0.6,0.1
1/26/2022,2022-B39 ,858,0.1,0.1
1/26/2022,2022-B52 ,G96,0.7,0.3
1/26/2022,2022-B52 ,I52,0.4,0.4
1/26/2022,2022-B52 ,I52,0.3,0.2
1/26/2022,2022-B52 ,G96,0.5,0.3
1/26/2022,2022-B52 ,I52,0.9,0.3
1/26/2022,2022-B52 ,I52,0.1,0.2
1/26/2022,2022-B52 ,G96,0.2,0.2
1/26/2022,2022-B52 ,I52,0.2,0.2
1/26/2022,2022-B52 ,654,0.1,0.1
1/26/2022,2022-B52 ,G96,1.8,0.2
1/26/2022,2022-B52 ,I52,0.2,0.3
1/26/2022,2022-B52 ,654,0.1,0.0
1/26/2022,2022-B52 ,I52,0.2,0.4
1/26/2022,2022-B52 ,I52,0.3,0.2
1/26/2022,2022-B52 ,654,0.0,0.1
1/27/2022,2022-B56 ,G96,0.2,0.4
1/27/2022,2022-B56 ,I52,0.1,0.3
1/27/2022,2022-B56 ,L01,0.4,0.4
1/27/2022,2022-B56 ,G96,0.2,0.1
1/27/2022,2022-B56 ,I52,0.4,0.1
1/27/2022,2022-B56 ,H21,0.2,0.3
1/27/2022,2022-B56 ,G96,0.3,0.1
1/27/2022,2022-B56 ,654,0.1,0.0
1/27/2022,2022-B56 ,H21,0.2,0.4
1/27/2022,2022-B56 ,I52,0.1,0.0
1/27/2022,2022-B56 ,654,0.1,0.1
1/27/2022,2022-B56 ,H21,0.2,0.2
1/27/2022,2022-B56 ,I52,0.0,0.1
1/27/2022,2022-B56 ,654,0.2,0.1
1/27/2022,2022-B56 ,H21,0.1,0.1
1/27/2022,2022-B56 ,I52,0.2,0.1
1/27/2022,2022-B56 ,204,0.2,0.1
1/27/2022,2022-B56 ,V41,0.1,3.8
1/27/2022,2022-B56 ,I52,0.1,0.0
1/27/2022,2022-B56 ,L01,1.2,0.2
1/27/2022,2022-B56 ,V41,1.2,1.6
1/27/2022,2022-B56 ,H21,0.2,0.2
1/27/2022,2022-B56 ,L01,0.6,0.7
1/27/2022,2022-B56 ,V41,0.2,0.4
1/27/2022,2022-B56 ,H21,0.4,0.4
1/27/2022,2022-B56 ,L01,0.5,0.6
1/27/2022,2022-B56 ,H21,0.2,0.1
1/27/2022,2022-B56 ,L01,0.5,0.1
1/27/2022,2022-B71 ,G96,0.2,0.1
1/27/2022,2022-B71 ,L01,0.3,0.0
1/27/2022,2022-B71 ,H21,0.4,0.4
1/27/2022,2022-B71 ,G96,0.1,0.1
1/27/2022,2022-B71 ,L01,0.0,0.4
1/27/2022,2022-B71 ,I52,0.1,0.5
1/27/2022,2022-B71 ,G96,0.1,0.1
1/27/2022,2022-B71 ,L01,0.4,0.2
1/27/2022,2022-B71 ,I52,0.6,0.5
1/27/2022,2022-B71 ,I52,0.0,0.1
1/27/2022,2022-B71 ,Z41,0.6,1.2
1/27/2022,2022-B71 ,I52,0.5,0.0
1/27/2022,2022-B71 ,I52,0.1,0.0
1/27/2022,2022-B71 ,L01,0.2,0.1
1/27/2022,2022-B71 ,654,0.2,0.1
1/27/2022,2022-B71 ,I52,0.1,0.0
1/27/2022,2022-B71 ,Z41,0.8,1.2
1/27/2022,2022-B71 ,654,0.0,0.1
1/27/2022,2022-B71 ,I52,0.2,0.0
1/27/2022,2022-B71 ,H21,0.4,0.2
1/27/2022,2022-B71 ,654,0.1,0.0
1/29/2022,2022-B120,V00,0.1,0.1
1/29/2022,2022-B120,204,0.2,0.4
1/29/2022,2022-B120,I52,0.1,0.3
1/29/2022,2022-B120,V00,0.1,0.0
1/29/2022,2022-B120,204,0.6,0.2
1/29/2022,2022-B120,654,0.1,0.1
1/29/2022,2022-B120,V00,0.1,0.1
1/29/2022,2022-B120,H36,0.8,0.5
1/29/2022,2022-B120,I52,0.1,0.2
1/29/2022,2022-B120,V00,0.1,0.2
1/29/2022,2022-B120,H36,1.2,0.4
1/29/2022,2022-B120,J95,0.2,0.2
1/29/2022,2022-B120,291,0.0,0.0
1/29/2022,2022-B120,H21,0.1,0.2
1/29/2022,2022-B120,J95,0.0,0.5
1/29/2022,2022-B120,291,0.0,0.3
1/29/2022,2022-B120,H21,0.1,0.0
1/29/2022,2022-B120,C95,0.7,0.3
1/29/2022,2022-B120,L01,0.1,0.3
1/29/2022,2022-B120,H36,0.8,0.0
1/29/2022,2022-B120,J95,0.4,0.2
1/29/2022,2022-B120,L01,1.0,0.1
1/29/2022,2022-B120,H21,0.3,0.1
1/29/2022,2022-B120,J95,0.3,0.3
1/29/2022,2022-B120,L01,1.1,0.7
1/29/2022,2022-B120,654,0.1,0.2
1/29/2022,2022-B120,C95,0.3,0.3
1/29/2022,2022-B120,L01,0.3,0.2
1/29/2022,2022-B120,654,0.0,0.1
2/2/2022,2022-C20 ,G96,0.2,0.5
2/2/2022,2022-C20 ,K83,0.2,0.4
2/2/2022,2022-C20 ,204,0.1,0.1
2/2/2022,2022-C20 ,G96,0.2,0.1
2/2/2022,2022-C20 ,L01,0.3,0.1
2/2/2022,2022-C20 ,203,0.1,0.0
2/2/2022,2022-C20 ,G96,0.1,0.1
2/2/2022,2022-C20 ,L01,0.0,0.1
2/2/2022,2022-C20 ,204,0.2,0.1
2/2/2022,2022-C20 ,G96,0.9,2.0
2/2/2022,2022-C20 ,L01,0.4,0.1
2/2/2022,2022-C20 ,C95,0.5,0.5
2/2/2022,2022-C20 ,I52,0.1,0.0
2/2/2022,2022-C20 ,L01,0.3,0.2
2/2/2022,2022-C20 ,C95,0.3,0.1
